Instance,FC_h0_solve_time,FC_h0_total_time,FC_h1_solve_time,FC_h1_total_time,FC_h2_solve_time,FC_h2_total_time,FC_h3_solve_time,FC_h3_total_time,MAC4_h0_solve_time,MAC4_h0_total_time,MAC4_h1_solve_time,MAC4_h1_total_time,MAC4_h2_solve_time,MAC4_h2_total_time,MAC4_h3_solve_time,MAC4_h3_total_time,CP-SAT_solve_time,CP-SAT_total_time
450_25_le450_25a.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.006123852000000001,0.011670112609863281
450_25_le450_25b.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0055659260000000006,0.010656118392944336
450_25_le450_25c.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.006375749,0.014177083969116211
450_25_le450_25d.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007914484000000001,0.017418622970581055
450_5_le450_5a.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0054767470000000006,0.012024641036987305
450_5_le450_5b.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004570435,0.009172439575195312
450_5_le450_5c.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005531546,0.03593873977661133
450_5_le450_5d.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004861632,0.009857892990112305
451_30_fpsol2.i.2.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0061852930000000006,0.01131892204284668
496_65_fpsol2.i.1.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010486872000000001,0.018819093704223633
561_13_homer.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005102912,0.00950932502746582
621_31_inithx.i.3.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.007449815,0.014869928359985352
645_31_inithx.i.2.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0066999880000000005,0.014696359634399414
864_54_inithx.i.1.col.json,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012210693,0.02461385726928711
